Id,source,title,article,page_rank,timestamp
10150,WTNH,(11) Florida State 17 North Carolina State 10,"RALEIGH, NC Florida State is 8-and-2 after scoring the final 17 points in a 17-to-10 win at North Carolina State. Darrell Blackman&#39;s 87-yard punt return for a touchdown put the Wolfpack ahead 10-to-0 in the second quarter.",5,0000-00-00 00:00:00
10151,Australian,Bigger Iraq role unlikely: PM,. The Government confirmed Australia had turned down an approach by the United Nations to send troops to help protect UN officials in Iraq.,5,0000-00-00 00:00:00
10152,Reuters,Industrial Output Growth Nearly Stalls," WASHINGTON (Reuters) - U.S. industrial output growth nearly  stalled last month as production cuts at mines and utilities  nearly swamped a solid performance in factories, a report from  the Federal Reserve showed on Wednesday.",5,0000-00-00 00:00:00
10153,Wired,Demo: Tools for Interactive Web,Companies tapping into a growing industry called in 'social media' will use an upcoming Arizona tech conference to showcase a new batch of online tools. The idea is to make the web a better medium for sharing information.,5,0000-00-00 00:00:00
10154,Motley,Is Pepsi Bottling Happiness?,Investors applaud stronger third-quarter earnings from the bottler.,5,0000-00-00 00:00:00
10155,Guardian,Marines defend soldier&#39;s killing of Iraqi,"US marines yesterday rallied around their colleague who is being investigated for shooting an unarmed, wounded insurgent in a Falluja mosque, as a senior UN human rights official called for an inquiry into alleged abuses in the city.",5,2004-11-17 16:07:45
10156,New,Nike Commissions a Rap Song in Honor of Its Air Force 1 Shoe,Nike is now offering songs for those who enjoy its sneakers as lifestyle accessories.,5,2007-02-26 08:54:07
10157,Yahoo,"Crews tackle Utah wildfire that killed 3 \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/us/*http://news.yahoo.com/s/ap/20070702/ap_on_re_us/wildfires""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070630/capt.12a87f3c17084dd585d35de8e314f316.wildfires_cajc103.jpg?x=82&y=130&sig=hvlmzR5IggL2urvtn_UiSg--"" align=""left"" height=""130"" width=""82"" alt=""Norma Sprague, left, hugs friend Kathy Kempen at the site of the remains of Sprague's home Saturday, June 30, 2007, near South Lake Tahoe, Calif. As evacuated residents returned to their burned-out streets Saturday, officials said an illegal campfire caused the inferno that destroyed more than 200 homes and charred 3,100 acres south of Lake Tahoe. (AP Photo/Jeff Chiu)"" border=""0"" /></a>AP - A wildfire that has scorched about 46 square miles in northeastern Utah and killed three people has prompted the evacuation of hundreds of people from nearby towns and forced authorities to close a national forest to the public.</p><br clear=""all""/>",5,2007-07-02 05:04:59
10158,RedNova,Idera Announces Support for Microsoft SQL Server 2008,"Idera, a leading provider of management and administration solutions for  Microsoft SQL Server, today announced that the company will provide full  support for Microsoft SQL Server 2008 within 90 days of the release from  Microsoft.",4,2007-06-05 22:50:02
10159,Yahoo,"Vodafone Tech Change Stings Mobile Web Designers \
    (PC World)\
",PC World - Mobile developers around the world are in an uproar over a change Vodafone Group PLC has made in the U.K. that dramatically decreases the quality of their products and that they fear could prevent new and innovative mobile services from reaching the market.,5,2007-09-23 23:14:04
10160,Voice,Italian Leaders Condemn Kidnapping of Aid Workers in Iraq,"Italy is again under shock over the kidnapping of two of its aid workers in Iraq, this time young women who were in Baghdad to assist with reconstruction efforts.",5,2004-09-08 21:03:23
10161,Daily,Sharon vows to press ahead with Gaza plan,JERUSALEM: Israeli Premier Ariel Sharon made an impassioned defense of his disengagement plan at the start of a crunch debate in Parliament Monday as 16 Palestinians were killed by troops in the Gaza Strip.,5,0000-00-00 00:00:00
10162,RedNova,Stocks Set to Open Higher After Gains,NEW YORK - U.S. stocks are seen opening higher at the open Tuesday after a slight gain in Monday's session...,5,2004-10-05 20:06:29
10163,CNET,Xbox 360 shipments fail to reach target,"Blog: In a conference call to talk about hardware problems, Microsoft also notes that it failed to hit its goal of selling 12 million units by the end of June.",3,2007-07-06 02:19:37
10164,New,Apple Rumor Site to Shut Down in Settlement,Apple put to rest the last of a series of lawsuits it brought in a losing and costly effort to put a stop to Web leaks about its product plans.,5,2007-12-24 07:48:09
10165,Washington,E.U. Agrees To Ease U.S. Access to Data On Passengers,\N,5,2006-10-07 08:44:49
10166,New,Philharmonic Opts for Generation Next,"Alan Gilbert, the next music director of the New York Philharmonic, is an unpretentious musician with no whiff of the formidable maestro about him.",5,2007-07-19 10:08:52
10167,Reuters,Miss a love connection? Post an ad online,"NEW YORK, Feb 8 (Reuters Life!) - Ever locked eyes with a stranger on a train or in a store, become quickly intrigued, and later regretted not even saying ""hello.""",5,2007-02-08 23:43:53
10168,Bloomberg,"Two Russian Planes Crash, 89 Die, After Hijack Alarm (Update7)","Two Russian passenger airliners from Moscow crashed within minutes of each other, killing all 89 passengers and crew, the greatest number of civilian Russian air deaths in a single day for more than three years.",5,2004-08-26 00:35:09
10169,Reuters,"Nigeria militants fight troops, threaten oil targets","LAGOS (Reuters) - Nigerian militants and troops engaged in a major firefight near an oil pumping station operated by Royal Dutch Shell in the eastern part of the Niger Delta on Wednesday, militants said.",5,2006-10-04 23:17:49
10170,New,LEBANON NAILS ITS AL QAEDA RINGLEADER,"September 23, 2004 -- BEIRUT, Lebanon - The Lebanese government announced the arrest of the country&#39;s top al Qaeda operative, and said yesterday he and another Lebanese suspect plotted homicide attacks on Western embassies and recruited insurgents to ",5,0000-00-00 00:00:00
10171,RedNova,Station on Net,POLICE have set up a virtual police station in an internet fantasy game to capture paedophiles.   Investigators from the Child Exploitation and Online Protection Centre set up the 'walk-in' headquarters because of concerns about perverts posing as teenagers.,4,2007-06-18 04:25:19
10172,New,Chasing a Coveted Democratic Prize Across the Plains,"By the time Senator Tom Daschle&#39;s fancy silver bus rolled down Main Street, past the golden corn fields and the grain elevator, to stop at the American Legion hall, nearly everyone here knew who was on board.",5,0000-00-00 00:00:00
10173,Yahoo,"McCain says he's happy with campaign \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/politics/*http://news.yahoo.com/s/ap/20070723/ap_on_el_pr/mccain_iowa""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070722/capt.021dbb5c72bd4ef1b32674775d989f03.mccain_2008_iacn105.jpg?x=130&y=85&sig=cyrRcrRVVLBSYBIVL9UjFg--"" align=""left"" height=""85"" width=""130"" alt=""Nola Hirdman, left, greets Republican presidential hopeful U.S. Sen. John McCain, R-Ariz., before a news conference, Sunday, July 22, 2007, in Des Moines, Iowa. (AP Photo/Charlie Neibergall)"" border=""0"" /></a>AP - John McCain on Sunday assured Iowa supporters that he's doing fine and intends to seriously compete in the state's leadoff caucuses despite staff cuts and money problems.</p><br clear=""all""/>",5,2007-07-23 12:00:13
10174,New,Qualcomm to Review Accounting Practices,Qualcomm plans to study whether to change its accounting practices to reflect the growing size and volatility of the mobile communications market.,5,0000-00-00 00:00:00
10175,Time,Thumbs Up for Roger Ebert,"A happy, healthy birthday to Roger Ebert, America's movie critic<img src=""http://feeds.feedburner.com/~r/time/entertainment/~4/127302799"" height=""1"" width=""1""/>",5,2007-06-23 20:15:28
10176,CNET,Sony to support MP3,Sony confirmed on Wednesday that it is working to add native MP3 support to its portable music players--a major strategy reversal that could help it compete more effectively with rivals such as Apple Computer.,5,2004-09-23 18:06:00
10177,Yahoo,"Crow sends best wishes to Pavarotti \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070710/ap_en_mu/people_crow_pavarotti""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070709/capt.ab9072066eb94172b54882299379af4f.people_sheryl_crow_ny115.jpg?x=108&y=130&sig=gY1MvBGbsHCrgs.HmAA4lg--"" align=""left"" height=""130"" width=""108"" alt=""Singer-songwriter Sheryl Crow laughs as a reporter asks about her Valentine's Day plans during an appearance in the Empire State Building in New York,in this file photo from Jan. 29, 2007. Crow, who had breast cancer surgery last year, has wished Luciano Pavarotti well in his battle against cancer. Crow spoke about the famed tenor while she was in the Italian resort island of Ischia, where she received a music award, the Italian news agency ANSA reported. (AP Photo/Kathy Willens)"" border=""0"" /></a>AP - Sheryl Crow, who had breast cancer surgery last year, has wished Luciano Pavarotti well in his own battle against cancer. Crow spoke about the famed tenor while she was on the Italian resort island of Ischia, where she received a music award, the Italian news agency ANSA reported.</p><br clear=""all""/>",5,2007-07-10 03:25:23
10178,CSMonitor,'Peanuts' of Latin America heads north,"Joaqu&#237;n Salvador Lavado, known as Quino, is regarded as the best cartoonist ever to hail from Latin America.",5,0000-00-00 00:00:00
10179,Yahoo,"Robben poised to sign new Chelsea deal \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20070608/sp_wl_afp/fblengprnedchelsea""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070608/capt.sge.lle82.080607184343.photo00.photo.default-382x512.jpg?x=96&y=130&sig=WW0.0AwGOsYnZoLWCR4ixw--"" align=""left"" height=""130"" width=""96"" alt=""Chelsea&#39;s Dutch winger Arjen Robben, seen here in March 2007, is set to sign a new deal with the Premiership side that will keep him at the club for another five years.(AFP/File/Chris Young)"" border=""0"" /></a>AFP - Chelsea&#39;s Dutch winger Arjen Robben is set to sign a new deal with the Premiership side that will keep him at the club for another five years, his father and agent said Friday.</p><br clear=""all""/>",5,2007-06-08 23:34:28
10180,ABC,Chinese defence policy aims to crush Taiwan independence attempts,China has issued a national defence policy to crush &quot;the vicious rise&quot; of Taiwan independence forces at its core. It is the first time such a policy has been issued since President Hu Jintao became military chief.,5,0000-00-00 00:00:00
10181,Yahoo,Buckeyes Hope to Repeat 2002 Performance (AP),AP - There are remarkable similarities between the 2004 Ohio State Buckeyes and those that won the national championship just two years ago.,5,0000-00-00 00:00:00
10182,InfoWorld,Iomega REVs backup and recovery,Iomega this week unveiled a SCSI version of its REV drive aimed at server backup and disaster recovery applications.,4,0000-00-00 00:00:00
10183,New,New tools for job,"The transformation is almost complete, and now Curt Schilling is eager, even nervous, to answer perhaps the most important question left for himself and the Red Sox as October approaches.",5,2007-09-25 13:15:36
10184,Motley,THQ Who?,"A wait-and-see attitude seems like a good bet for THQ right now.\
<p><a href=""http://feeds.feedburner.com/~a/usmf/foolwatch?a=imfzOH""><img src=""http://feeds.feedburner.com/~a/usmf/foolwatch?i=imfzOH"" border=""0""></img></a></p><img src=""http://feeds.feedburner.com/~r/usmf/foolwatch/~4/230561845"" height=""1"" width=""1""/>",5,2008-02-08 19:27:10
10185,Yahoo,"Footballer Nakamura vows to &#39;fight like a challenger&#39; \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20070625/sp_wl_afp/fblasia2007jpnsconakamura""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070625/capt.sge.qmf38.250607062054.photo00.photo.default-512x378.jpg?x=130&y=95&sig=QOpIxxv7t3Skx85U41YAiw--"" align=""left"" height=""95"" width=""130"" alt=""Celtic playmaker Shunsuke Nakamura, seen here, has vowed to &quot;fight like a challenger&quot; as he cancelled his 29th birthday party to take part in Japan&#39;s crash training course ahead of their Asian Cup defence(AFP/File/Brian Stewart)"" border=""0"" /></a>AFP - Celtic playmaker Shunsuke Nakamura has vowed to &quot;fight like a challenger&quot; as he cancelled his 29th birthday party to take part in Japan&#39;s crash training course ahead of their Asian Cup defence.</p><br clear=""all""/>",5,2007-06-25 11:38:21
10186,Sports,Flames coach Sutter undergoes appendectomy,"Calgary, AB (Sports Network) - Calgary Flames head coach Darryl Sutter underwent an emergency appendectomy and is expected to make a full recovery.",5,0000-00-00 00:00:00
10187,Reuters,Snow covers Jerusalem for second night,"JERUSALEM (Reuters) - Jerusalem, some of northern Israel and hilly areas in the occupied West Bank were covered in a blanket of snow for the second day in a row on Thursday and many cars stayed off roads due to hazardous driving conditions.\
<p><a href=""http://feeds.reuters.com/~a/reuters/worldNews?a=YAYdr0""><img src=""http://feeds.reuters.com/~a/reuters/worldNews?i=YAYdr0"" border=""0""></img></a></p><div class=""feedflare"">\
<a href=""http://feeds.reuters.com/~f/reuters/worldNews?a=AQCeL0D""><img src=""http://feeds.reuters.com/~f/reuters/worldNews?i=AQCeL0D"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~f/reuters/worldNews?a=MfVTzUd""><img src=""http://feeds.reuters.com/~f/reuters/worldNews?i=MfVTzUd"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~f/reuters/worldNews?a=J9EM7kd""><img src=""http://feeds.reuters.com/~f/reuters/worldNews?i=J9EM7kd"" border=""0""></img></a>\
</div><img src=""http://feeds.reuters.com/~r/reuters/worldNews/~4/226383893"" height=""1"" width=""1""/>",5,2008-01-31 09:44:23
10188,ic,Star duo may get the nod,"THE European team have been on a charm offensive at Oakland Hills, but tomorrow they must be ready to face a concerted American assault on the Ryder Cup.",5,0000-00-00 00:00:00
10189,Reuters,Putin says new PM could be presidential contender,MOSCOW (Reuters) - Russian President Vladimir Putin said on Friday newly-appointed prime minister Viktor Zubkov might be a contender for next head of state if he performs well in his new job.,5,2007-09-14 20:47:14
10190,Reuters,"Sharon, Abbas Expected to Call Cease-Fire"," SHARM EL-SHEIKH, Egypt (Reuters) - Israeli and Palestinian  leaders met Tuesday at a summit in Egypt, where they were  expected to declare an end to over four years of bloodshed in  which more than 4,000 people have died.",5,0000-00-00 00:00:00
10191,Yahoo,"Lennon&#39;s &#39;last&#39; piano up for sale \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20070530/wl_uk_afp/entertainmentusmusic""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070530/capt.sge.iiw66.300507180759.photo00.photo.default-512x355.jpg?x=130&y=90&sig=_gRwKcMI5C6GK7GaNdHsVg--"" align=""left"" height=""90"" width=""130"" alt=""This undated handout photo received from Moments In Time (MIT) 30 May 2007 shows a New York recording studio piano believed to have been played by John Lennon just hours before he was shot dead in 1980. The piano is being sold for 375,000 USD according to the dealer handling the sale.(AFP/MIT-HO)"" border=""0"" /></a>AFP - A New York recording studio piano believed to have been played by John Lennon just hours before he was shot dead in 1980 is being sold for 375,000 dollars, the dealer handling the sale said Wednesday.</p><br clear=""all""/>",5,2007-05-30 23:14:23
10192,Yahoo,Lionel Richie's Estranged Wife Charged (AP),AP - The estranged wife of singer Lionel Richie has been charged with letting a man use her home to give illegal anti-wrinkle injections to patients including her and her former husband.,5,2004-11-17 18:10:39
10193,Yahoo,Second Phase of Vote Count Begins in Iraq (AP),"AP - Under the watch of armed Western security guards and monitors, Iraqi election workers are doing a second count of the country's historic vote, tapping at computer keyboards and sifting through bags of tally sheets.",5,2005-02-02 09:15:42
10194,Reuters,Pilgrims flee Iraqi city as clashes kill 52,"KERBALA, Iraq (Reuters) - Police ordered hundreds of thousands of pilgrims to leave the Iraqi city of Kerbala on Tuesday after fierce gunbattles erupted between security forces and gunmen near two of Shi'ite Islam's holiest shrines.",5,2007-08-28 23:18:55
10195,New,"Bobby Mauch, Actor Who Played Opposite Twin, Dies at 86",Bobby Mauch played the pauper (or was it the prince?) in the rambunctious 1937 film of Mark Twainâs âPrince and the Pauperâ opposite his twin brother.,5,2007-11-02 01:52:48
10196,Reuters,China unveils likely successors to top posts,"BEIJING (Reuters) - China's ruling Communist Party unveiled a new leadership line-up on Monday, including two men positioned to eventually succeed President Hu Jintao and government head Premier Wen Jiabao.",5,2007-10-22 15:36:21
10197,Reuters,"Disney's ""Ratatouille"" boosts demand for pet rats","LONDON (Reuters) - It has four legs and a tail like a dog or a cat, so why shouldn't man's best friend be a...rat?",5,2007-10-28 18:43:31
10198,CNET,FCC wants to know: Is degrading P2P traffic 'reasonable'?,"Agency seeks public comment as first step in deciding how far Internet service providers can go before they transcend ""reasonable network management"" and run afoul of federal policy.",3,2008-01-15 20:00:40
10199,BBC,Beatle guitar goes up for auction,"A guitar played by George Harrison and John Lennon is expected to fetch up to Â£270,000 at auction.",5,0000-00-00 00:00:00
10200,RedNova,Milwaukee Journal Sentinel Jim Stingl Column: Grief Finds Expression Electronically,"By Jim Stingl, Milwaukee Journal Sentinel  Feb. 21--As a father, Mark Spaeth admits he has not wholeheartedly embraced these computer social networking sites like Facebook and MySpace.   You know the rap. Young people post way too much personal information, leaving them vulnerable.",4,2007-02-21 13:49:17
10201,ITV.com,Almunia: I&#39;m ready for Chelsea,Manuel Almunia is confident of acquitting himself well if he is selected for Sunday&#39;s crucial Premiership clash with Chelsea. There have been suggestions that the former Celta Vigo custodian will defer to ,5,2004-12-08 13:25:49
10202,Forbes,Update 4: Pension Agency to Take on United Funds,"The government&#39;s pension agency moved to assume responsibility Thursday for United Airlines pilots&#39; pensions, acknowledging as unfortunate but inevitable the carrier&#39;s elimination of defined-benefit plans for its employees.",5,2004-12-31 01:45:58
10203,Yahoo,"Edmund Hillary, first to conquer Everest, dead at 88 \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/afp/20080111/ts_afp/nzealandeverestpeoplehillary""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080111/capt.sge.rqu69.110108101651.photo00.photo.default-426x512.jpg?x=108&y=130&q=85&sig=F8VLxqfWYyfDKfR4W1M1ig--"" align=""left"" height=""130"" width=""108"" alt=""Sir Edmund Hillary (L) with his wife June in New Delhi in 2003. Hillary, the modest New Zealand beekeeper who won international fame as one of the world's great adventurers after becoming the first person to climb Mount Everest, has died aged 88.(AFP/File/Raveendran )"" border=""0"" /></a>AFP - Edmund Hillary, the modest New Zealand beekeeper who shot to global fame as the first person to climb Mount Everest, died Friday aged 88.</p><br clear=""all""/>",5,2008-01-11 12:18:15
10204,Motley,Freeport-McMoRan's Bulging Quarter,"Following a big acquisition this year, Freeport's chalked an earnings double.\
<p><a href=""http://feeds.fool.com/~a/usmf/foolwatch?a=5w5WAV""><img src=""http://feeds.fool.com/~a/usmf/foolwatch?i=5w5WAV"" border=""0""></img></a></p><img src=""http://feeds.fool.com/~r/usmf/foolwatch/~4/175004839"" height=""1"" width=""1""/>",5,2007-10-26 00:26:45
10205,BBC,Karzai replaces warlord minister,"Afghan President Hamid Karzai names his new cabinet, removing the defence minister, veteran warlord Mohammed Fahim.",5,2004-12-23 18:10:24
10206,CNET,"Who decides what's ""classic rock""?","<p>Featured links from the CNET Blog Network</p>
\

\
<p>
\
<a href=""http://blogs.cnet.com/8301-13526_1-9765194-27.html?tag=bnpr"">Who decides what's ""classic rock""?</a>--Using a technique published on the Digital Audio Insider blog, and statistics published on Last.fm, it's possible to get a very rough estimate of listeners' devotion to particular artists.</p>
\

\
<p>
\
<a href=""http://www.cnet.com/8301-13553_1-9765106-32.html?tag=bnpr"">Epicurious gets a facelift</a>--Culinary site Epicurious relaunches with a tidier design and greater emphasis on community features.</p>
\

\
<p>
\
<a href=""http://blogs.cnet.com/8301-13504_1-9765067-15.html?tag=bnpr"">LG Fusic: Not for me, but maybe for my kids.</a>--The LG Fusic is music centric, but needs better battery life and sound quality.</p>
\

\
<p>
\
<a href=""http://www.cnet.com/8301-13645_1-9765657-47.html?tag=bnpr"">What's up with watts: How much power do you need?</a>--Unfortunately, power ratings are a near-meaningless way to compare the loudness potential of one receiver, amplifier, or HTIB against another.</p>
\
",3,2007-08-25 01:17:46
10207,Rediff,John-Kat sign YRF project,"'It is a subject close to my heart,' says director Kabir Khan.",5,2008-02-08 15:29:38
10208,BBC,Threat shuts UK Jakarta embassy,British embassy officials say they have suspended all services in the Indonesian capital after a bomb threat.,5,0000-00-00 00:00:00
10209,AL.com,Moon takes dark journey tonight,"For about three hours, the moon will traipse through Earth&#39;s light and dark shadows, a lunar eclipse. At dusk, the moon will rise in the east.",5,2004-10-27 12:41:42
10210,BBC,Met Office unveils supercomputer,The Met Office is celebrating 150 years by unveiling a new supercomputer which they predict will put them at the forefront of weather forecasting.,5,0000-00-00 00:00:00
10211,Yahoo,"Confucius reigns in China prison rehabilitation \
    (Reuters)\
","Reuters - A jail in northern China has turned to\
the ancient teachings of Confucius to put its inmates on a more\
righteous path, a Chinese newspaper reported on Thursday.",5,2006-11-30 07:24:15
10212,Time,Utah's Maverick Mayor,"His anti-war protest to ""welcome"" President Bush to Salt Lake City may have shocked some, but Mayor Rocky Anderson always shakes things up in the nation's reddest state<img src=""http://feeds.feedburner.com/~r/time/nation/~4/18425382""/>",5,2006-09-02 00:58:57
10213,Reuters,Bear Stearns shakes up asset management unit,NEW YORK (Reuters) - Bear Stearns Cos. Inc.  on Friday replaced the head of its asset management business after two of the investment bank's hedge funds hit rock bottom by making bad bets on risky mortgages.,5,2007-06-29 23:38:47
10214,Reuters,"Hitachi to recall 16,000 Sony-made batteries","TOKYO (Reuters) - Hitachi Ltd.  said on Friday it will recall 16,000 batteries made by Sony Corp.  for laptop computers, joining a growing list of PC makers recalling Sony batteries.",5,2006-10-06 09:01:18
10215,New,Europe Proposes Binding Limits on Auto Emissions,E.U. officials told leading automakers to make deep cuts in emissions or face fines that could reach billions of euros. But automakers promised a fight.,5,2007-12-20 20:01:05
10216,Scotland,Women Too Complacent About Breast Cancer Checks - Charity,Women are being urged to check their breasts for cancer after research today revealed widespread complacency. One in five women surveyed admitted they never check their breasts for ,5,0000-00-00 00:00:00
10217,Yahoo,"Swedish prosecutor indicts Pirate Bay file sharing site \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080131/tc_afp/swedeninternetcomputercrimecopyright""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080131/capt.sge.ehv01.310108132330.photo00.photo.default-512x341.jpg?x=130&y=86&q=85&sig=ZsLOCS4TlaKcnnQDAHCJZQ--"" align=""left"" height=""86"" width=""130"" alt=""A computer user. A Swedish prosecutor has filed charges against four people suspected of running one of the world's most popular websites for illegal downloading of films, music and computer games.(AFP/File/Robyn Beck)"" border=""0"" /></a>AFP - A Swedish prosecutor filed charges on Thursday against four people suspected of running one of the world's most popular websites for illegal downloading of films, music and computer games.</p><br clear=""all""/>",5,2008-01-31 16:09:19
10218,Yahoo,Kerry Has Double-Digit Lead in N.J. (AP),"AP - John Kerry has reclaimed a healthy lead in Democratic-leaning New Jersey, where he holds a double-digit lead over President Bush, according to a Quinnipiac University poll released Thursday.",5,0000-00-00 00:00:00
10219,Columbus,Study suggests statins help fight Alzheimer&#39;s disease,A small study in which Alzheimer&#39;s patients were given the cholesterol-lowering drug Lipitor found that their mental capacity stabilized or improved over the course of a year.,5,0000-00-00 00:00:00
10220,Washington, School Forms' Immigration-Related Questions Stir Concern ," CARTERET, N.J. -- A few weeks back, Linda Singh picked up the registration packet from her local school district. There, at the bottom of the first page, was the question regarding birthplace, followed by: ""If not USA, date entered USA."" ",5,2006-09-10 05:11:13
10221,Gulf,90 killed as heavy rains lash China,"BEIJING: At least 90 people were killed and 77 remained missing after some of the worst rainstorms in recent years triggered landslides and flash floods in southwest China, disaster relief officials said yesterday.",5,0000-00-00 00:00:00
10222,Washington, U.S. Anti-Doping Agency Loses First Case: Jenkins Found Not Guilty ," After seven years and more than 40 arbitration hearings, the U.S. Anti-Doping Agency finally lost a case -- to four third-year law students and a law professor working for free. ",4,2007-12-15 04:41:45
10223,Yahoo,Yahoo profit multiplies to 373 million dollars (AFP),"AFP - US Internet portal Yahoo's profit grew fivefold in the fourth quarter from a year earlier to 373 million dollars, lifted by strong advertising revenues and one-time gains, the company said.",5,2005-01-19 11:05:43
10224,New,"Arts, Briefly","Jay-Z to tour, police raid a pirate music site, American Heritage is bought and more culture news.",5,2007-10-24 11:51:19
10225,InfoWorld,"Q&A: Linux hot, standards not with China, Taiwan","<p>(<a href=""http://www.infoworld.com/?source=rss"">InfoWorld</a>) - Earlier this year, members of Chinese and Taiwanese IT associations announced broad plans to work together to jointly develop and promote Linux as well as home-grown standards for certain IT components. The idea is to match Taiwanâs technology prowess with Chinaâs huge number of users as a base for a global Linux putsch, and to create new standards to compete with global initiatives from Blu-ray to CDMA (Code Division Mutliple Access). At an IT trade show in Shanghai, IDG News Service (IDGNS) caught up with Roger Liao, deputy director of international affairs at one of Taiwanâs biggest industry groups, the Taiwan Electrical and Electronic Manufacturersâ Association (TEEMA), to discuss progress on both fronts, in addition to other IT developments in China.</p><p align=""right""><a href=""http://ad.doubleclick.net/jump/idg.us.info.rss/news;pos=imu;tile=6;sz=336x280;pkey=applications;skey=open_source_applications;ord=123456789?"" target=""_blank"" /><img src=""http://ad.doubleclick.net/ad/idg.us.info.rss/news;pos=imu;tile=6;sz=336x280;pkey=applications;skey=open_source_applications;ord=123456789?"" width=""336"" height=""280"" border=""0"" alt="""" align=""right""/></a></p>\
<p>IDG News Service: How is work on Linux progressing? Whatâs popular and whatâs not in Taiwan and China?</p>\
<p>Liao: It really depends on what kind of product youâre talking about. For example, China really wants to promote Linux as an OS, because itâs more stable. But Microsoft is by far the more popular OS here because people are used to it and it has a larger market share. Microsoftâs recent deal with Novell is another aspect thatâs very interesting, but itâs too early to say how that will affect Linux development and usage in China.</p>\
<p>Linux is still mostly used in servers and as embedded software in China and Taiwan. A number of Taiwanese companies have opened Linux development centers in China for embedded software development. Although Chinese engineers are less experienced, they are not expensive to hire, and they learn quickly. Even we (TEEMA) use Chinese engineers for all of our software needs, but thatâs mostly our Web site and e-commerce platform.</p>\
<p>IDGNS: What about the development of new technology standards? Weâve heard a lot about meetings between Taiwanese and Chinese IT associations to create new global technology standards. Whatâs been accomplished so far?</p>\
<p>Liao: Thereâs not a lot going on so far, just a lot of talking. Developing standards is very difficult, itâs actually a very political issue. Itâs something we (Taiwan-China) always talk about â we even held discussions at the recent APEC meeting (Asia Pacific Economic Cooperation, Hanoi, Nov. 18,19) â but nothing concrete has come from these discussions.</p>\
<p>Most of our members are manufacturers, contract manufacturers, so they normally wait and see what standard wins out, and then embrace the winner. Thatâs the way itâs been for years, and I donât see it changing anytime soon.</p>\
<p>IDGNS: Speaking of manufacturing, is the growth of China really hurting Taiwanese manufacturers?</p>\
<p>Liao: A lot of Taiwanese companies are already using China as a manufacturing base, so theyâre taking advantage of the low costs. But the other issue is quality. Even Chinese companies that are making components on their own, well their quality isnât as good as Taiwan.</p>\
<p>There are also more risks in doing business with China. Chinese companies will always say âcan doâ even if they canât, which is a problem if your business depends on their delivery.</p>\
<p>So overall, it may be less expensive on the surface, but other problems such as low quality and business risk in China can increase expenses over the long run, and then it doesnât seem so cheap anymore.</p>\
<p>Taiwan has been involved in international business for years, particularly in IT. China is rather new to the game, and they still have a lot to learn.</p>\
<p>Taiwan is actually the best partner for foreigners to approach using China as a manufacturing base and as a market. Japanese companies tend to prefer partnering with Taiwanese companies when entering China. They take advantage of Taiwanâs long experience in China as well as better communication skills (Mandarin is spoken in both Taiwan and China). Itâs more difficult for Japanese companies to do it on their own, the costs are much higher. They definitely can do it, but there is a learning curve and itâs expensive to climb.</p>\
<p>Taiwan still has a big advantage in know-how, the knowledge of the local people, the education, and the experience with international business practices and standards.</p>\
<p>(Liao was in Shanghai for a major electronics trade show in China, a three-in-one combo; the China Electronics Fair (CEF Shanghai 2006), Asia Electronics Exhibition in Shanghai (AAES 2006), and the 2006 International Electronics Expo (IEE Shanghai 2006).</p><p>ADVERTISEMENT</p><p><img src=""http://ad.doubleclick.net/ad/idg.us.ifw.textlink/ibmspl1;sz=1x1;ord=200301151450?"" width=""1"" height=""1"" border=""0""/><a href=""http://ad.doubleclick.net/clk;59632171;14862758;s?http://ad.doubleclick.net/clk;59592986;14953756;k?http://www-935.ibm.com/services/us/igs/innovation/spotlight.html?ca=WMYSGTSSPL&re=StorageRSS"">NEW IT SERVICES FROM IBM: EASIER TO BUY AND IMPLEMENT</a><br/>Discover a simpler, more cost-effective way to get the solutions your company needs to grow more flexible and efficient.</p>",4,2006-11-27 18:47:26
